company_name,industry_category,sub_industry,location_area,district,zone_type,distance_km,company_type,employee_estimate,materials_used,adhesive_type_needed,product_needed,application_type,purchase_stage,expected_monthly_volume_liters,order_frequency,urgency_days,payment_terms_expected,has_google_listing,google_review_count,has_phone,credibility_level,lead_source,lead_bucket,lead_score
Company_0012,Upholstery/Foam,Cushion Producer,Savar,Dhaka,Industrial Zone,33,Distributor,Small (10-49),Foam,SR,SR Adhesive,Repair/Maintenance,Regular Reorder,788,Weekly,2,Cash,Yes,211,Yes,High,Phone Call,Hot,83
Company_0013,Automotive/Transport,Bus/Coach Body Shop,Motijheel,Dhaka,Central Dhaka,3.2,Distributor,Micro (1-9),Foam,SR,SR Adhesive,Bonding,Regular Reorder,616,Monthly,8,Credit,Yes,59,Yes,High,Phone Call,Warm,78
Company_0014,Automotive/Transport,Bus/Coach Body Shop,Savar,Dhaka,Industrial Zone,19.9,Retailer,Micro (1-9),Fabric,SR,SR Adhesive,Assembly,Annual Contract,298,Monthly,7,Cash,Yes,89,No,Medium,Phone Call,Warm,73
Company_0015,Other,Miscellaneous Supplier,Keraniganj,Dhaka,Near Highway,24,Retailer,Micro (1-9),Wood,Unknown,General Purpose Adhesive,Bonding,Trial Order,0,Monthly,83,Unknown,Yes,0,No,Low,WhatsApp,Reject,4
Company_0016,Automotive/Transport,Vehicle Interior Workshop,Gulshan,Dhaka,Central Dhaka,17.5,Trader,Medium (50-249),Fabric,SR,SR Adhesive,Lamination,Regular Reorder,270,Weekly,62,Cash,Yes,48,Yes,High,Referral,Save For Later,41
Company_0017,Footwear,Footwear Accessories Supplier,Tongi,Gazipur,Industrial Zone,26.9,Manufacturer,Small (10-49),Leather,SR,SR Adhesive,Assembly,Trial Order,0,Monthly,3,Unknown,Yes,110,Yes,High,WhatsApp,Hot,89
Company_0018,Furniture,Carpentry Unit,Gulshan,Dhaka,Central Dhaka,7.2,Distributor,Small (10-49),Foam,Unknown,PU Adhesive,Lamination,Trial Order,558,Weekly,15,Cash,Yes,87,Yes,High,Phone Call,Warm,75
Company_0019,Other,Small Enterprise,Motijheel,Dhaka,Central Dhaka,2,Manufacturer,Medium (50-249),Wood,Unknown,PU Adhesive,Bonding,Regular Reorder,413,Monthly,6,Unknown,Yes,162,Yes,High,WhatsApp,Hot,91
Company_0020,Furniture,Modular Furniture Manufacturer,Tejgaon,Dhaka,Industrial Zone,2,Retailer,Micro (1-9),Foam,Unknown,SR Adhesive,Bonding,Trial Order,34,Monthly,52,Cash,No,0,Yes,Low,Facebook Page,Reject,17
Company_0021,Footwear,Sole Manufacturer,Tejgaon,Dhaka,Industrial Zone,7.2,Trader,Micro (1-9),PVC/EVA,Unknown,SR Adhesive,Bonding,Trial Order,40,Monthly,59,Unknown,Yes,44,Yes,High,WhatsApp,Save For Later,29
Company_0022,Furniture,Wood Furniture Factory,Motijheel,Dhaka,Central Dhaka,5.7,Manufacturer,Small (10-49),Wood,SR,SR Adhesive,Bonding,Annual Contract,428,Monthly,7,Cash,Yes,210,Yes,High,Referral,Warm,84
Company_0023,Upholstery/Foam,Foam Cutting Unit,Tongi,Gazipur,Industrial Zone,24.5,Retailer,Small (10-49),Fabric,SR,SR Adhesive,Assembly,Regular Reorder,0,Monthly,66,Cash,Yes,9,Yes,Medium,Website Inquiry,Save For Later,35
Company_0024,Automotive/Transport,Vehicle Interior Workshop,Tongi,Gazipur,Industrial Zone,34.6,Trader,Micro (1-9),Fabric,Unknown,PU Adhesive,Bonding,Regular Reorder,30,One-time,16,Unknown,No,0,Yes,Low,Website Inquiry,Cold,34
Company_0025,Upholstery/Foam,Sofa Upholstery Workshop,Mirpur,Dhaka,Mixed Zone,17.7,Retailer,Small (10-49),Fabric,SR,SR Adhesive,Assembly,Regular Reorder,0,Weekly,9,Cash,Yes,162,Yes,High,WhatsApp,Warm,68
Company_0026,Retail/Trading,Building Materials Shop,Gulshan,Dhaka,Central Dhaka,8.4,Distributor,Medium (50-249),Mixed/Unknown,SR,SR Adhesive,Repair/Maintenance,Regular Reorder,569,Weekly,7,Cash,Yes,124,Yes,High,WhatsApp,Warm,75
Company_0027,Other,Small Enterprise,Motijheel,Dhaka,Central Dhaka,11.4,Trader,Micro (1-9),Mixed/Unknown,Unknown,SR Adhesive,Bonding,Regular Reorder,46,Monthly,22,Unknown,Yes,0,Yes,Medium,Facebook Page,Reject,23
Company_0028,Footwear,Sole Manufacturer,Gulshan,Dhaka,Central Dhaka,16.2,Trader,Small (10-49),PVC/EVA,Unknown,SR Adhesive,Repair/Maintenance,Trial Order,0,Monthly,55,Unknown,No,0,Yes,Low,WhatsApp,Reject,6
Company_0029,Automotive/Transport,Car Accessories Unit,Keraniganj,Dhaka,Near Highway,22.5,Retailer,Small (10-49),PVC/EVA,SR,SR Adhesive,Assembly,Regular Reorder,201,One-time,23,Cash,Yes,40,Yes,High,WhatsApp,Save For Later,48
Company_0030,Packaging,Corrugated Box Factory,Tongi,Gazipur,Industrial Zone,23.5,Distributor,Large (250+),Mixed/Unknown,Unknown,General Purpose Adhesive,Lamination,Trial Order,2684,Weekly,6,Unknown,No,0,Yes,Low,Phone Call,Warm,80
Company_0031,Upholstery/Foam,Cushion Producer,Gulshan,Dhaka,Central Dhaka,8.4,Manufacturer,Medium (50-249),Wood,Unknown,General Purpose Adhesive,Assembly,Regular Reorder,0,Weekly,16,Cash,Yes,20,Yes,Medium,Walk-in,Warm,62
Company_0032,Packaging,Paper Bag Producer,Motijheel,Dhaka,Central Dhaka,25.8,Trader,Small (10-49),Paper/Board,Unknown,PU Adhesive,Assembly,Trial Order,0,One-time,57,Unknown,Yes,5,No,Medium,Facebook Page,Reject,13
Company_0033,Construction,PVC Sheet Workshop,Tejgaon,Dhaka,Industrial Zone,7.8,Retailer,Small (10-49),Wood,Unknown,General Purpose Adhesive,Repair/Maintenance,Annual Contract,184,Monthly,4,Cash,Yes,131,Yes,High,Walk-in,Warm,68
Company_0034,Retail/Trading,Building Materials Shop,Savar,Dhaka,Industrial Zone,41.9,Distributor,Small (10-49),Mixed/Unknown,Unknown,General Purpose Adhesive,Assembly,Regular Reorder,146,One-time,27,Cash,Yes,36,Yes,High,Walk-in,Cold,46
Company_0035,Packaging,Label Printing Unit,Narayanganj,Narayanganj,Industrial Zone,34.5,Trader,Micro (1-9),Plastic,SR,SR Adhesive,Lamination,Trial Order,20,Monthly,52,Cash,Yes,32,Yes,High,Facebook Page,Save For Later,39
Company_0036,Retail/Trading,Wholesale Store,Narayanganj,Narayanganj,Industrial Zone,31.7,Manufacturer,Micro (1-9),Mixed/Unknown,SR,SR Adhesive,Bonding,Regular Reorder,325,Weekly,4,Cash,Yes,127,Yes,High,WhatsApp,Warm,88
Company_0037,Construction,PVC Sheet Workshop,Narayanganj,Narayanganj,Industrial Zone,29.8,Trader,Medium (50-249),PVC/EVA,Unknown,General Purpose Adhesive,Bonding,Trial Order,262,Monthly,43,Unknown,Yes,4,Yes,Medium,Facebook Page,Save For Later,35
Company_0038,Construction,Door & Board Manufacturer,Uttara,Dhaka,Mixed Zone,21.4,Manufacturer,Small (10-49),Mixed/Unknown,Unknown,SR Adhesive,Assembly,Regular Reorder,993,Weekly,3,Unknown,Yes,36,Yes,High,Phone Call,Hot,100
Company_0039,Construction,Wood Panel Unit,Tongi,Gazipur,Industrial Zone,25.4,Retailer,Small (10-49),PVC/EVA,PU,PU Adhesive,Bonding,Trial Order,0,One-time,61,Unknown,Yes,1,Yes,Medium,WhatsApp,Save For Later,35
Company_0040,Furniture,Interior Workshop,Gulshan,Dhaka,Central Dhaka,8.7,Manufacturer,Small (10-49),Foam,Unknown,SR Adhesive,Bonding,Trial Order,267,Monthly,6,Unknown,Yes,129,Yes,High,Phone Call,Warm,79
Company_0041,Furniture,Carpentry Unit,Savar,Dhaka,Industrial Zone,21.5,Manufacturer,Medium (50-249),Foam,SR,SR Adhesive,Assembly,Regular Reorder,515,Weekly,13,Cash,Yes,54,No,Medium,Distributor Referral,Warm,64
Company_0042,Construction,PVC Sheet Workshop,Tongi,Gazipur,Industrial Zone,18.3,Distributor,Medium (50-249),Mixed/Unknown,Unknown,PU Adhesive,Assembly,Regular Reorder,837,Monthly,13,Credit,Yes,94,Yes,High,WhatsApp,Warm,81
Company_0043,Other,Small Repair Unit,Savar,Dhaka,Industrial Zone,28.4,Distributor,Micro (1-9),Plastic,PU,PU Adhesive,Bonding,Regular Reorder,46,One-time,19,Cash,Yes,53,Yes,High,Phone Call,Cold,55
Company_0044,Upholstery/Foam,Foam Cutting Unit,Mirpur,Dhaka,Mixed Zone,14.9,Distributor,Medium (50-249),Foam,SR,SR Adhesive,Bonding,Trial Order,534,Weekly,17,Unknown,Yes,111,Yes,High,WhatsApp,Warm,79
Company_0045,Upholstery/Foam,Foam Cutting Unit,Uttara,Dhaka,Mixed Zone,11.1,Trader,Small (10-49),Foam,Unknown,SR Adhesive,Lamination,Annual Contract,506,Monthly,12,Credit,Yes,43,Yes,High,Referral,Warm,78
Company_0046,Furniture,Interior Workshop,Mirpur,Dhaka,Mixed Zone,18.8,Trader,Small (10-49),Fabric,SR,SR Adhesive,Bonding,Trial Order,120,Monthly,37,Credit,Yes,14,Yes,Medium,Facebook Page,Cold,61
Company_0047,Construction,Door & Board Manufacturer,Gulshan,Dhaka,Central Dhaka,8.8,Manufacturer,Medium (50-249),Wood,Unknown,PU Adhesive,Assembly,Annual Contract,0,Monthly,5,Credit,Yes,171,Yes,High,Referral,Hot,91
Company_0048,Footwear,Footwear Accessories Supplier,Motijheel,Dhaka,Central Dhaka,18.2,Manufacturer,Small (10-49),Rubber,Unknown,SR Adhesive,Assembly,Trial Order,219,Monthly,32,Cash,Yes,34,Yes,High,Phone Call,Save For Later,38
Company_0049,Footwear,Leather Goods Workshop,Savar,Dhaka,Industrial Zone,29.8,Distributor,Medium (50-249),Leather,SR,SR Adhesive,Bonding,Regular Reorder,441,Monthly,5,Credit,Yes,128,Yes,High,Walk-in,Hot,90
Company_0050,Other,Miscellaneous Supplier,Tongi,Gazipur,Industrial Zone,25.9,Manufacturer,Medium (50-249),Wood,Unknown,SR Adhesive,Assembly,Regular Reorder,852,Monthly,4,Credit,Yes,14,Yes,Medium,Referral,Hot,98
Company_0051,Upholstery/Foam,Sofa Upholstery Workshop,Uttara,Dhaka,Mixed Zone,17,Manufacturer,Micro (1-9),Fabric,SR,SR Adhesive,Lamination,Trial Order,76,Monthly,43,Cash,Yes,14,Yes,Medium,Phone Call,Cold,57
Company_0052,Retail/Trading,Building Materials Shop,Mirpur,Dhaka,Mixed Zone,8.6,Manufacturer,Medium (50-249),Mixed/Unknown,SR,SR Adhesive,Repair/Maintenance,Regular Reorder,620,Monthly,8,Unknown,Yes,162,Yes,High,WhatsApp,Warm,77
Company_0053,Furniture,Carpentry Unit,Motijheel,Dhaka,Central Dhaka,11.9,Retailer,Small (10-49),Fabric,SR,SR Adhesive,Repair/Maintenance,Trial Order,84,Monthly,56,Cash,Yes,21,No,Medium,Website Inquiry,Cold,51
Company_0054,Upholstery/Foam,Cushion Producer,Uttara,Dhaka,Mixed Zone,25.7,Manufacturer,Small (10-49),Foam,SR,SR Adhesive,Assembly,Trial Order,415,Monthly,11,Cash,Yes,74,Yes,High,WhatsApp,Hot,94
Company_0055,Furniture,Modular Furniture Manufacturer,Tejgaon,Dhaka,Industrial Zone,12.1,Trader,Medium (50-249),Fabric,SR,SR Adhesive,Bonding,Regular Reorder,242,One-time,46,Unknown,Yes,7,Yes,Medium,Distributor Referral,Cold,57
Company_0056,Retail/Trading,Building Materials Shop,Tongi,Gazipur,Industrial Zone,31,Manufacturer,Medium (50-249),Mixed/Unknown,Unknown,PU Adhesive,Lamination,Trial Order,318,Monthly,32,Unknown,Yes,49,Yes,High,Referral,Warm,77
Company_0057,Construction,Door & Board Manufacturer,Savar,Dhaka,Industrial Zone,29.2,Manufacturer,Small (10-49),Wood,PU,PU Adhesive,Bonding,Trial Order,252,Weekly,19,Cash,Yes,4,Yes,Medium,Phone Call,Cold,58
Company_0058,Footwear,Sole Manufacturer,Mirpur,Dhaka,Mixed Zone,16.5,Manufacturer,Large (250+),Rubber,PU,PU Adhesive,Bonding,Regular Reorder,2870,Weekly,16,Credit,Yes,56,Yes,High,Phone Call,Warm,88
Company_0059,Upholstery/Foam,Mattress Manufacturer,Gazipur,Gazipur,Industrial Zone,30.5,Trader,Medium (50-249),Foam,SR,SR Adhesive,Assembly,Trial Order,0,Monthly,12,Unknown,No,0,Yes,Low,Website Inquiry,Warm,54
Company_0060,Footwear,Leather Goods Workshop,Uttara,Dhaka,Mixed Zone,18.6,Distributor,Small (10-49),Leather,Unknown,SR Adhesive,Bonding,Regular Reorder,660,Monthly,7,Cash,Yes,130,Yes,High,Referral,Hot,91
Company_0061,Footwear,Shoe Upper Factory,Savar,Dhaka,Industrial Zone,33.3,Distributor,Medium (50-249),Leather,SR,SR Adhesive,Assembly,Trial Order,536,Monthly,3,Credit,Yes,47,Yes,High,Phone Call,Hot,85
Company_0062,Footwear,Leather Goods Workshop,Savar,Dhaka,Industrial Zone,20.8,Retailer,Large (250+),Leather,SR,SR Adhesive,Bonding,Regular Reorder,401,Weekly,33,Cash,Yes,19,Yes,Medium,Website Inquiry,Cold,52
Company_0063,Automotive/Transport,Car Accessories Unit,Keraniganj,Dhaka,Near Highway,15.6,Trader,Small (10-49),Fabric,PU,PU Adhesive,Assembly,Trial Order,99,Monthly,20,Unknown,No,0,Yes,Low,Distributor Referral,Reject,22
Company_0064,Automotive/Transport,Vehicle Interior Workshop,Mirpur,Dhaka,Mixed Zone,11,Retailer,Large (250+),PVC/EVA,PU,PU Adhesive,Assembly,Regular Reorder,3323,Weekly,3,Cash,Yes,233,Yes,High,Distributor Referral,Hot,97
Company_0065,Construction,Wood Panel Unit,Savar,Dhaka,Industrial Zone,32.8,Manufacturer,Small (10-49),Wood,Unknown,SR Adhesive,Lamination,Regular Reorder,335,Monthly,34,Cash,Yes,26,Yes,High,Facebook Page,Cold,49
Company_0066,Retail/Trading,General Trading Store,Narayanganj,Narayanganj,Industrial Zone,33.7,Trader,Small (10-49),Mixed/Unknown,SR,SR Adhesive,Lamination,Trial Order,78,Monthly,54,Unknown,Yes,5,No,Medium,Facebook Page,Reject,16
Company_0067,Retail/Trading,General Trading Store,Narayanganj,Narayanganj,Industrial Zone,22.3,Distributor,Micro (1-9),Mixed/Unknown,Unknown,SR Adhesive,Assembly,Regular Reorder,19,One-time,33,Unknown,Yes,41,Yes,High,Website Inquiry,Cold,56
Company_0068,Automotive/Transport,Car Accessories Unit,Savar,Dhaka,Industrial Zone,44.4,Trader,Medium (50-249),Fabric,Unknown,General Purpose Adhesive,Repair/Maintenance,Regular Reorder,261,Weekly,29,Credit,Yes,13,Yes,Medium,Phone Call,Save For Later,45
Company_0069,Retail/Trading,General Trading Store,Tongi,Gazipur,Industrial Zone,24.4,Retailer,Small (10-49),Mixed/Unknown,Unknown,General Purpose Adhesive,Bonding,Trial Order,75,One-time,16,Unknown,Yes,2,Yes,Medium,WhatsApp,Reject,21
Company_0070,Retail/Trading,General Trading Store,Motijheel,Dhaka,Central Dhaka,14,Retailer,Micro (1-9),Mixed/Unknown,SR,SR Adhesive,Repair/Maintenance,Trial Order,12,Monthly,69,Unknown,Yes,0,Yes,Medium,WhatsApp,Save For Later,45
Company_0071,Retail/Trading,Hardware & Adhesive Shop,Motijheel,Dhaka,Central Dhaka,5.1,Retailer,Micro (1-9),Mixed/Unknown,SR,SR Adhesive,Bonding,Trial Order,45,One-time,22,Cash,Yes,5,No,Medium,Facebook Page,Reject,22
Company_0072,Construction,PVC Sheet Workshop,Mirpur,Dhaka,Mixed Zone,14.3,Manufacturer,Small (10-49),Wood,Unknown,SR Adhesive,Bonding,Regular Reorder,192,Monthly,41,Cash,No,0,Yes,Low,Walk-in,Cold,38
Company_0073,Upholstery/Foam,Sofa Upholstery Workshop,Uttara,Dhaka,Mixed Zone,13.1,Manufacturer,Medium (50-249),Foam,SR,SR Adhesive,Lamination,Regular Reorder,308,Monthly,11,Credit,Yes,116,Yes,High,Distributor Referral,Warm,77
Company_0074,Upholstery/Foam,Cushion Producer,Savar,Dhaka,Industrial Zone,29.4,Manufacturer,Small (10-49),Foam,SR,SR Adhesive,Lamination,Trial Order,260,Monthly,23,Unknown,Yes,21,No,Medium,Phone Call,Cold,50
Company_0075,Footwear,Leather Goods Workshop,Tongi,Gazipur,Industrial Zone,31,Trader,Micro (1-9),PVC/EVA,Unknown,General Purpose Adhesive,Bonding,Regular Reorder,504,Monthly,10,Cash,Yes,50,Yes,High,Walk-in,Warm,69
Company_0076,Construction,Interior Materials Trader,Uttara,Dhaka,Mixed Zone,17.6,Distributor,Micro (1-9),Wood,Unknown,General Purpose Adhesive,Repair/Maintenance,Trial Order,432,Monthly,8,Unknown,Yes,143,Yes,High,Referral,Warm,79
Company_0077,Footwear,Leather Goods Workshop,Gulshan,Dhaka,Central Dhaka,15.3,Manufacturer,Medium (50-249),PVC/EVA,SR,SR Adhesive,Bonding,Regular Reorder,291,Weekly,49,Credit,Yes,22,Yes,Medium,WhatsApp,Warm,71
Company_0078,Retail/Trading,Wholesale Store,Gulshan,Dhaka,Central Dhaka,8.2,Trader,Small (10-49),Mixed/Unknown,SR,SR Adhesive,Repair/Maintenance,Trial Order,163,Monthly,32,Unknown,Yes,22,Yes,Medium,Website Inquiry,Cold,54
Company_0079,Upholstery/Foam,Mattress Manufacturer,Savar,Dhaka,Industrial Zone,33.6,Manufacturer,Medium (50-249),Fabric,Unknown,SR Adhesive,Repair/Maintenance,Regular Reorder,773,Weekly,6,Cash,Yes,134,Yes,High,Facebook Page,Hot,93
Company_0080,Packaging,Label Printing Unit,Savar,Dhaka,Industrial Zone,37.1,Distributor,Medium (50-249),Paper/Board,Unknown,PU Adhesive,Lamination,Trial Order,277,Monthly,18,Credit,Yes,56,Yes,High,Website Inquiry,Warm,71
Company_0081,Footwear,Footwear Accessories Supplier,Savar,Dhaka,Industrial Zone,29,Manufacturer,Medium (50-249),Rubber,Unknown,PU Adhesive,Lamination,Trial Order,257,Monthly,46,Credit,Yes,9,Yes,Medium,Facebook Page,Save For Later,41
Company_0082,Furniture,Interior Workshop,Gazipur,Gazipur,Industrial Zone,37.2,Manufacturer,Micro (1-9),Fabric,SR,SR Adhesive,Repair/Maintenance,Regular Reorder,637,Monthly,14,Cash,Yes,126,Yes,High,Referral,Warm,77
Company_0083,Furniture,Interior Workshop,Gazipur,Gazipur,Industrial Zone,48.9,Manufacturer,Small (10-49),Wood,Unknown,SR Adhesive,Repair/Maintenance,Regular Reorder,0,Monthly,32,Credit,Yes,16,Yes,Medium,Facebook Page,Cold,37
Company_0084,Retail/Trading,Hardware & Adhesive Shop,Tongi,Gazipur,Industrial Zone,31.9,Retailer,Small (10-49),Mixed/Unknown,Unknown,General Purpose Adhesive,Repair/Maintenance,Trial Order,84,Monthly,38,Cash,Yes,1,Yes,Medium,WhatsApp,Reject,21
Company_0085,Packaging,Label Printing Unit,Tongi,Gazipur,Industrial Zone,31.9,Manufacturer,Micro (1-9),Plastic,Unknown,PU Adhesive,Bonding,Regular Reorder,46,Monthly,65,Cash,Yes,69,Yes,High,Distributor Referral,Save For Later,28
Company_0086,Upholstery/Foam,Cushion Producer,Narayanganj,Narayanganj,Industrial Zone,29.6,Trader,Small (10-49),Fabric,Unknown,SR Adhesive,Lamination,Regular Reorder,158,Monthly,41,Cash,Yes,10,Yes,Medium,Phone Call,Cold,43
Company_0087,Other,Small Enterprise,Motijheel,Dhaka,Central Dhaka,12,Manufacturer,Small (10-49),Plastic,Unknown,SR Adhesive,Bonding,Annual Contract,364,Weekly,7,Unknown,Yes,167,Yes,High,Phone Call,Warm,77
Company_0088,Footwear,Leather Goods Workshop,Gazipur,Gazipur,Industrial Zone,38.6,Distributor,Medium (50-249),Rubber,Unknown,SR Adhesive,Bonding,Regular Reorder,0,Weekly,17,Credit,Yes,34,Yes,High,WhatsApp,Warm,68
Company_0089,Retail/Trading,Hardware & Adhesive Shop,Uttara,Dhaka,Mixed Zone,27.3,Manufacturer,Small (10-49),Mixed/Unknown,SR,SR Adhesive,Lamination,Regular Reorder,98,Monthly,41,Cash,Yes,6,Yes,Medium,WhatsApp,Reject,12
Company_0090,Retail/Trading,Hardware & Adhesive Shop,Motijheel,Dhaka,Central Dhaka,7.2,Retailer,Micro (1-9),Mixed/Unknown,SR,SR Adhesive,Lamination,Trial Order,12,One-time,48,Cash,No,0,Yes,Low,WhatsApp,Reject,5
Company_0091,Packaging,Plastic Packaging Manufacturer,Gulshan,Dhaka,Central Dhaka,10.4,Retailer,Small (10-49),Mixed/Unknown,Unknown,SR Adhesive,Lamination,Trial Order,149,One-time,59,Unknown,Yes,43,Yes,High,WhatsApp,Save For Later,35
Company_0092,Automotive/Transport,Vehicle Interior Workshop,Gazipur,Gazipur,Industrial Zone,40.9,Distributor,Micro (1-9),PVC/EVA,Unknown,SR Adhesive,Assembly,Regular Reorder,428,Monthly,15,Cash,Yes,166,Yes,High,WhatsApp,Warm,85
Company_0093,Packaging,Corrugated Box Factory,Keraniganj,Dhaka,Near Highway,22.6,Retailer,Small (10-49),Paper/Board,SR,SR Adhesive,Assembly,Regular Reorder,106,Monthly,44,Unknown,No,0,No,Low,Facebook Page,Reject,13
Company_0094,Packaging,Paper Bag Producer,Motijheel,Dhaka,Central Dhaka,8.9,Manufacturer,Small (10-49),Paper/Board,Unknown,SR Adhesive,Lamination,Trial Order,179,Monthly,42,Credit,No,0,No,Low,WhatsApp,Save For Later,27
Company_0095,Packaging,Paper Bag Producer,Keraniganj,Dhaka,Near Highway,23.3,Retailer,Small (10-49),Mixed/Unknown,SR,SR Adhesive,Lamination,Trial Order,151,Monthly,24,Cash,Yes,35,Yes,High,WhatsApp,Cold,50
Company_0096,Packaging,Label Printing Unit,Keraniganj,Dhaka,Near Highway,10.4,Retailer,Small (10-49),Plastic,Unknown,SR Adhesive,Assembly,Trial Order,76,Monthly,57,Unknown,No,0,No,Low,Facebook Page,Reject,9
Company_0097,Automotive/Transport,Bus/Coach Body Shop,Savar,Dhaka,Industrial Zone,35.4,Manufacturer,Small (10-49),Fabric,Unknown,General Purpose Adhesive,Assembly,Trial Order,281,Weekly,36,Cash,Yes,22,Yes,Medium,Facebook Page,Cold,51
Company_0098,Construction,Interior Materials Trader,Narayanganj,Narayanganj,Industrial Zone,26.4,Manufacturer,Small (10-49),Wood,PU,PU Adhesive,Lamination,Regular Reorder,277,Weekly,34,Credit,Yes,24,Yes,Medium,Walk-in,Cold,48
Company_0099,Upholstery/Foam,Foam Cutting Unit,Gulshan,Dhaka,Central Dhaka,12.6,Trader,Micro (1-9),Wood,SR,SR Adhesive,Lamination,Trial Order,503,Monthly,7,Credit,Yes,83,Yes,High,WhatsApp,Hot,84
Company_0100,Other,Small Repair Unit,Narayanganj,Narayanganj,Industrial Zone,35.4,Trader,Micro (1-9),Wood,PU,PU Adhesive,Bonding,Regular Reorder,48,One-time,36,Cash,No,0,Yes,Low,Facebook Page,Reject,1
Company_0101,Automotive/Transport,Car Accessories Unit,Tejgaon,Dhaka,Industrial Zone,14.6,Retailer,Micro (1-9),Fabric,PU,PU Adhesive,Assembly,Trial Order,37,One-time,71,Cash,Yes,6,No,Medium,Walk-in,Reject,21
Company_0102,Footwear,Leather Goods Workshop,Motijheel,Dhaka,Central Dhaka,2,Manufacturer,Medium (50-249),Leather,PU,PU Adhesive,Bonding,Annual Contract,0,Monthly,13,Credit,Yes,91,Yes,High,Walk-in,Warm,78
Company_0103,Footwear,Shoe Upper Factory,Savar,Dhaka,Industrial Zone,37.6,Trader,Micro (1-9),Leather,SR,SR Adhesive,Assembly,Trial Order,49,One-time,27,Cash,Yes,62,Yes,High,Facebook Page,Cold,49
Company_0104,Packaging,Plastic Packaging Manufacturer,Tongi,Gazipur,Industrial Zone,22.5,Trader,Small (10-49),Plastic,PU,PU Adhesive,Lamination,Trial Order,89,One-time,20,Credit,Yes,1,Yes,Medium,Facebook Page,Reject,20
Company_0105,Upholstery/Foam,Cushion Producer,Keraniganj,Dhaka,Near Highway,24.4,Manufacturer,Small (10-49),Fabric,SR,SR Adhesive,Lamination,Trial Order,182,Monthly,63,Credit,No,0,Yes,Low,Facebook Page,Save For Later,31
Company_0106,Automotive/Transport,Vehicle Interior Workshop,Tejgaon,Dhaka,Industrial Zone,14,Distributor,Large (250+),Fabric,Unknown,PU Adhesive,Bonding,Regular Reorder,2600,Weekly,11,Credit,Yes,49,Yes,High,Phone Call,Warm,79
